CountryName,date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,ConfirmedCases,StringencyIndex,2020_sca,mean_sca,inc,mean,dif
China,20200406,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,,3.0,0.0,2.0,0.0,3.0,0.0,,0.0,2.0,1.0,3.0,2.0,2.0,1.0,81707.0,69.91,0.006941478273920669,0.27310174733981213,0.0027634266490448155,0.10872275568951323,0.26616026906589146
China,20200413,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,82159.0,56.94,0.0026645503977341238,0.23550527331306198,0.0010607667828458857,0.09375546858786235,0.23284072291532787
China,20200420,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,82747.0,56.94,0.002435791248436015,0.2184550452389889,0.0009696969696969697,0.08696771347679247,0.21601925399055288
China,20200427,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,82836.0,56.94,0.0,0.21664532732429284,0.0,0.08624725847925774,0.21664532732429284
Germany,20200127,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,,1.0,5.56,0.7368680370801264,1.0,0.4797047970479705,0.6510050279135772,0.2631319629198736
Germany,20200203,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,,12.0,5.56,0.6255835931426842,0.8647781991463259,0.40725806451612906,0.5629749556743069,0.23919460600364173
Germany,20200210,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,,14.0,5.56,0.6249477177891904,0.8324453268816654,0.4068441064638783,0.5419260932631255,0.20749760909247494
Germany,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,0.0,,16.0,11.11,0.6758780364725713,0.732754199143211,0.44,0.477026667867017,0.056876162670639774
Germany,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,0.0,,16.0,11.11,0.5634293915838388,0.5984377517792654,0.3667953667953668,0.38958598530159905,0.035008360195426635
Germany,20200302,2.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,2.0,1.0,1.0,2.0,0.0,,159.0,25.0,0.5939534259910475,0.5596059481415908,0.38666666666666666,0.36430628589052017,-0.03434747784945669
Germany,20200309,2.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,,0.0,2.0,1.0,1.0,2.0,0.0,,1176.0,28.7,0.46025062068271794,0.5070609246630685,0.299625468164794,0.3300992114141652,0.046810303980350576
Germany,20200316,3.0,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,,3.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,,7272.0,42.13,0.28889699223702486,0.4344064403281939,0.18807339449541285,0.2828007768116936,0.14550944809116906
Germany,20200323,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,,2.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,29056.0,76.85,0.11983653128946299,0.3180009407405805,0.07801418439716312,0.20702021130336543,0.19816440945111752
